Value,Disaggregation combinations using this value,Number of indicators
Cuautitlán Izcalli,15,2
Cuautitlán,15,2
Cuautla,30,2
Cuautlancingo,15,2
Cuaxomulco,15,2
Cuayuca de Andrade,15,2
Cucurpe,15,2
Cuencamé,15,2
Cuernavaca,15,2
Cuerámaro,15,2
Cuetzala del Progreso,15,2
Cuetzalan del Progreso,15,2
Cuichapa,15,2
Cuilápam de Guerrero,15,2
Cuitláhuac,15,2
Cuitzeo,15,2
Culiacán,15,2
Cumpas,15,2
Cuncunul,15,2
Cunduacán,15,2
Cuquío,15,2
Cusihuiriachi,15,2
Cutzamala de Pinzón,15,2
Cuyamecalco Villa de Zaragoza,15,2
Cuyoaco,15,2
Cuzamá,15,2
Cárdenas,30,2
Córdoba,15,2
Degollado,15,2
Del Nayar,15,2
Delicias,15,2
Divisaderos,15,2
Doctor Arroyo,15,2
Doctor Coss,15,2
Doctor González,15,2
Doctor Mora,15,2
Dolores Hidalgo Cuna de la Independencia Nacional,15,2
Domingo Arenas,15,2
Donato Guerra,15,2
Dr. Belisario Domínguez,15,2
Durango,15,2
Dzemul,15,2
Dzidzantún,15,2
Dzilam de Bravo,15,2
Dzilam González,15,2
Dzitbalché,15,2
Dzitás,15,2
Dzoncauich,15,2
Dzán,15,2
Ebano,15,2
Ecatepec de Morelos,15,2
Ecatzingo,15,2
Ecuandureo,15,2
Eduardo Neri,15,2
Ejutla,15,2
El Arenal,30,2
El Barrio de la Soledad,15,2
El Bosque,15,2
El Carmen Tequexquitla,15,2
El Carmen,15,2
El Espinal,15,2
El Fuerte,15,2
El Grullo,15,2
El Higo,15,2
El Limón,15,2
El Llano,15,2
El Mante,15,2
El Marqués,15,2
El Naranjo,15,2
El Oro,30,2
El Parral,15,2
El Plateado de Joaquín Amaro,15,2
El Porvenir,15,2
El Salto,15,2
El Salvador,15,2
El Tule,15,2
Elota,15,2
Eloxochitlán de Flores Magón,15,2
Eloxochitlán,30,2
Emiliano Zapata,90,2
Empalme,15,2
Encarnación de Díaz,15,2
Ensenada,15,2
Epatlán,15,2
Epazoyucan,15,2
Epitacio Huerta,15,2
Erongarícuaro,15,2
Escobedo,15,2
Escuinapa,15,2
Escuintla,15,2
Escárcega,15,2
Españita,15,2
Esperanza,15,2
Espinal,15,2
Espita,15,2
Etchojoa,15,2
Etzatlán,15,2
Ezequiel Montes,15,2
Felipe Carrillo Puerto,15,2
Filomeno Mata,15,2
Florencio Villarreal,15,2
Fortín,15,2
Francisco I. Madero,30,2
Francisco León,15,2
Francisco Z. Mena,15,2
Fresnillo de Trujano,15,2
Fresnillo,15,2
Frontera Comalapa,15,2
Frontera Hidalgo,15,2
Frontera,15,2
Fronteras,15,2
Gabriel Zamora,15,2
Galeana,30,2
García,15,2
Genaro Codina,15,2
General Bravo,15,2
General Canuto A. Neri,15,2
General Cepeda,15,2
General Enrique Estrada,15,2
General Escobedo,15,2
General Felipe Ángeles,15,2
General Francisco R. Murguía,15,2
General Heliodoro Castillo,15,2
General Plutarco Elías Calles,15,2
General Pánfilo Natera,15,2
General Simón Bolívar,15,2
General Terán,15,2
General Treviño,15,2
General Zaragoza,15,2
General Zuazua,15,2
González,15,2
Gran Morelos,15,2
Granados,15,2
Guachinango,15,2
Guachochi,15,2
Guadalajara,15,2
Guadalcázar,15,2
Guadalupe de Ramírez,15,2
Guadalupe Etla,15,2
Guadalupe Victoria,30,2
Guadalupe y Calvo,15,2
Guadalupe,60,2
Guanaceví,15,2
Guanajuato,15,2
Guasave,15,2
Guaymas,15,2
Guazapares,15,2
Guelatao de Juárez,15,2
Guerrero,45,2
Guevea de Humboldt,15,2
Gustavo A. Madero,15,2
Gustavo Díaz Ordaz,15,2
Gutiérrez Zamora,15,2
Gómez Farías,45,2
Gómez Palacio,15,2
Güémez,15,2
Halachó,15,2
Hecelchakán,15,2
Hermenegildo Galeana,15,2
Hermosillo,15,2
Heroica Ciudad de Ejutla de Crespo,15,2
Heroica Ciudad de Huajuapan de León,15,2
Heroica Ciudad de Juchitán de Zaragoza,15,2
Heroica Ciudad de Tlaxiaco,15,2
"Heroica Villa Tezoatlán de Segura y Luna, Cuna de la Independencia de Oaxaca",15,2
Hidalgo del Parral,15,2
Hidalgo,75,2
Hidalgotitlán,15,2
Higueras,15,2
Hocabá,15,2
Hoctún,15,2
Homún,15,2
Honduras de la Sierra,15,2
Honey,15,2
Hopelchén,15,2
Hostotipaquillo,15,2
Huachinera,15,2
Huajicori,15,2
Hualahuises,15,2
Huamantla,15,2
Huamuxtitlán,15,2
Huandacareo,15,2
Huaniqueo,15,2
Huanusco,15,2
Huanímaro,15,2
Huaquechula,15,2
Huasca de Ocampo,15,2
Huatabampo,15,2
Huatlatlauca,15,2
Huatusco,15,2
Huauchinango,15,2
Huautepec,15,2
Huautla de Jiménez,15,2
Huautla,15,2
Huayacocotla,15,2
Huazalingo,15,2
Huehuetla,30,2
Huehuetlán el Chico,15,2
Huehuetlán el Grande,15,2
Huehuetlán,15,2
Huehuetoca,15,2
Huehuetán,15,2
Huejotitán,15,2
Huejotzingo,15,2
Huejuquilla el Alto,15,2
Huejutla de Reyes,15,2
Huejúcar,15,2
Huetamo,15,2
Hueyapan de Ocampo,15,2
Hueyapan,30,2
Hueyotlipan,15,2
Hueypoxtla,15,2
Hueytamalco,15,2
Hueytlalpan,15,2
Huhí,15,2
Huichapan,15,2
Huiloapan de Cuauhtémoc,15,2
Huimanguillo,15,2
Huimilpan,15,2
Huiramba,15,2
Huitiupán,15,2
Huitzilac,15,2
Huitzilan de Serdán,15,2
Huitziltepec,15,2
Huitzuco de los Figueroa,15,2
Huixquilucan,15,2
Huixtla,15,2
Huixtán,15,2
Hunucmá,15,2
Huásabas,15,2
Huépac,15,2
Ignacio de la Llave,15,2
Ignacio Zaragoza,15,2
Iguala de la Independencia,15,2
Igualapa,15,2
Ilamatlán,15,2
Iliatenco,15,2
Imuris,15,2
Indaparapeo,15,2
Indé,15,2
Irapuato,15,2
Irimbo,15,2
Isidro Fabela,15,2
Isla Mujeres,15,2
Isla,15,2
Iturbide,15,2
Ixcamilpa de Guerrero,15,2
Ixcaquixtla,15,2
Ixcateopan de Cuauhtémoc,15,2
Ixcatepec,15,2
Ixhuacán de los Reyes,15,2
Ixhuatlancillo,15,2
