Value,Disaggregation combinations using this value,Number of indicators
Jalisco-Tonaya,1,1
Jalisco-Tonila,1,1
Jalisco-Totatiche,1,1
Jalisco-Tototlán,1,1
Jalisco-Tuxcacuesco,1,1
Jalisco-Tuxcueca,1,1
Jalisco-Tuxpan,1,1
Jalisco-Unión de San Antonio,1,1
Jalisco-Unión de Tula,1,1
Jalisco-Valle de Guadalupe,1,1
Jalisco-Valle de Juárez,1,1
Jalisco-Villa Corona,1,1
Jalisco-Villa Guerrero,1,1
Jalisco-Villa Hidalgo,1,1
Jalisco-Villa Purificación,1,1
Jalisco-Yahualica de González Gallo,1,1
Jalisco-Zacoalco de Torres,1,1
Jalisco-Zapopan,1,1
Jalisco-Zapotiltic,1,1
Jalisco-Zapotitlán de Vadillo,1,1
Jalisco-Zapotlanejo,1,1
Jalisco-Zapotlán del Rey,1,1
Jalisco-Zapotlán el Grande,1,1
Jalisco,1,1
Michoacán de Ocampo-Acuitzio,1,1
Michoacán de Ocampo-Aguililla,1,1
Michoacán de Ocampo-Angamacutiro,1,1
Michoacán de Ocampo-Angangueo,1,1
Michoacán de Ocampo-Apatzingán,1,1
Michoacán de Ocampo-Aporo,1,1
Michoacán de Ocampo-Aquila,1,1
Michoacán de Ocampo-Ario,1,1
Michoacán de Ocampo-Arteaga,1,1
Michoacán de Ocampo-Briseñas,1,1
Michoacán de Ocampo-Buenavista,1,1
Michoacán de Ocampo-Carácuaro,1,1
Michoacán de Ocampo-Charapan,1,1
Michoacán de Ocampo-Charo,1,1
Michoacán de Ocampo-Chavinda,1,1
Michoacán de Ocampo-Cherán,1,1
Michoacán de Ocampo-Chilchota,1,1
Michoacán de Ocampo-Chinicuila,1,1
Michoacán de Ocampo-Chucándiro,1,1
Michoacán de Ocampo-Churintzio,1,1
Michoacán de Ocampo-Churumuco,1,1
Michoacán de Ocampo-Coahuayana,1,1
Michoacán de Ocampo-Coalcomán de Vázquez Pallares,1,1
Michoacán de Ocampo-Coeneo,1,1
Michoacán de Ocampo-Cojumatlán de Régules,1,1
Michoacán de Ocampo-Contepec,1,1
Michoacán de Ocampo-Copándaro,1,1
Michoacán de Ocampo-Cotija,1,1
Michoacán de Ocampo-Cuitzeo,1,1
Michoacán de Ocampo-Ecuandureo,1,1
Michoacán de Ocampo-Epitacio Huerta,1,1
Michoacán de Ocampo-Erongarícuaro,1,1
Michoacán de Ocampo-Gabriel Zamora,1,1
Michoacán de Ocampo-Hidalgo,1,1
Michoacán de Ocampo-Huandacareo,1,1
Michoacán de Ocampo-Huaniqueo,1,1
Michoacán de Ocampo-Huetamo,1,1
Michoacán de Ocampo-Huiramba,1,1
Michoacán de Ocampo-Indaparapeo,1,1
Michoacán de Ocampo-Irimbo,1,1
Michoacán de Ocampo-Ixtlán,1,1
Michoacán de Ocampo-Jacona,1,1
Michoacán de Ocampo-Jiménez,1,1
Michoacán de Ocampo-Jiquilpan,1,1
Michoacán de Ocampo-José Sixto Verduzco,1,1
Michoacán de Ocampo-Jungapeo,1,1
Michoacán de Ocampo-Juárez,1,1
Michoacán de Ocampo-La Huacana,1,1
Michoacán de Ocampo-La Piedad,1,1
Michoacán de Ocampo-Lagunillas,1,1
Michoacán de Ocampo-Los Reyes,1,1
Michoacán de Ocampo-Lázaro Cárdenas,1,1
Michoacán de Ocampo-Madero,1,1
Michoacán de Ocampo-Maravatío,1,1
Michoacán de Ocampo-Marcos Castellanos,1,1
Michoacán de Ocampo-Morelia,1,1
Michoacán de Ocampo-Morelos,1,1
Michoacán de Ocampo-Múgica,1,1
Michoacán de Ocampo-Nahuatzen,1,1
